Price,odometer,make,model,year,color
4077,2014,MERCEDES-BENZ,C 180,1995,Black
18817,119700,KIA,Optima,2012,White
549,91283,KIA,SOUL,2018,White
40769,60000,TOYOTA,RAV 4,2016,Carnelian red
12388,189530,MERCEDES-BENZ,E 350,2010,Black
14454,171734,HYUNDAI,Sonata,2010,Silver
6611,143686,TOYOTA,Aqua,2013,White
7527,157232,TOYOTA,RAV 4,2012,Silver
392,215965,FORD,Fusion,2013,Black
47042,106918,LEXUS,GX 470,2015,Black
25089,50000,HYUNDAI,Sonata,2017,White
10663,76000,BMW,325,2003,Silver
20385,111111,MERCEDES-BENZ,Sprinter,1998,White
6899,90392,SUBARU,Forester,2015,White
8154,147677,BMW,X6,2011,Red
21012,101000,TOYOTA,Camry,2012,Grey
5645,345405,TOYOTA,Highlander,2010,Silver
16000,0,HONDA,Fred,2018,Blue
21009,92336,HYUNDAI,H1,2010,Silver
64917,83000,MERCEDES-BENZ,C 300,2015,Black
30734,200179,MERCEDES-BENZ,E 350,2014,Black
19757,93450,FORD,C-MAX,2013,White
39026,63905,LEXUS,ES 300,2011,Silver
6272,55000,BMW,320 Gran Turismo,1999,Blue
24462,292000,MERCEDES-BENZ,E 280 CDI,2008,Silver
13172,0,TOYOTA,Prius C,2013,White
17562,220000,AUDI,A4,2010,Black
188,196330,BMW,X5,2011,White
4077,320554,FORD,Fusion,2013,White
50526,41747,HONDA,Civic,2017,White
48610,19000,TOYOTA,RAV 4,2016,Blue
4077,234082,SUBARU,Legacy,2005,White
627,118656,BMW,X6,2013,Black
2117,150285,VOLKSWAGEN,Jetta,2012,Silver
19444,90000,FORD,Fusion,2015,Black
15681,133000,TOYOTA,Prius,2010,White
1176,134835,TOYOTA,Prius,2015,Grey
7527,90000,TOYOTA,Vitz,2002,Pink
5175,175000,TOYOTA,Vitz,2001,Pink
52059,229334,LEXUS,GX 460,2012,Black
16621,119379,MERCEDES-BENZ,E 350,2011,Silver
470,199203,MERCEDES-BENZ,E 36 AMG,2010,Black
52106,94638,SSANGYONG,REXTON,2016,Grey
18503,22000,TOYOTA,Camry,2007,Silver
40,256000,TOYOTA,Prius C,2014,White
9000,11000,SUZUKI,Swift,2014,Silver
21326,67000,HYUNDAI,Elantra,2016,Black
30,145000,HONDA,FIT,2012,Silver
19444,177600,MITSUBISHI,Outlander sport,2015,Black
1411,193504,SUZUKI,SX4,2013,Red
2500,290000,OPEL,Astra astra,1997,Red
11604,180800,KIA,Optima,2013,White
14113,190400,AUDI,A4,2008,Black
251,39552,TOYOTA,Camry,2019,Black
8311,107738,FORD,Fiesta,2014,Blue
15994,74000,CHEVROLET,Cruze,2012,Silver
7213,215000,OPEL,Astra,2000,Silver
13172,368000,TOYOTA,Prius,2010,Grey
15994,0,MERCEDES-BENZ,311,1998,Blue
27174,69320,CHEVROLET,Captiva,2015,Silver
314,0,TOYOTA,Highlander,2008,Silver
14113,142000,HONDA,Civic,2012,White
22580,29800,TOYOTA,Camry SE,2014,White
8311,163000,HONDA,FIT,2006,Silver
20918,41250,KIA,Cerato,2015,Black
4077,214098,TOYOTA,Camry,2012,Silver
16308,130000,MERCEDES-BENZ,E 320,2004,Silver
1725,180659,MERCEDES-BENZ,ML 350,2012,Black
27356,65004,HYUNDAI,Elantra,2016,White
470,340106,AUDI,Q5,2012,White
470,138070,LEXUS,RX 350,2010,Black
82166,80000,BMW,X5,2015,Blue
10976,215000,MERCEDES-BENZ,Vito 2.2,2005,Blue
18519,163855,CHEVROLET,Cruze,2013,White
9408,85000,TOYOTA,Prius,2007,Golden
1098,187312,HONDA,Insight,2010,Blue
13877,137538,CHEVROLET,Cruze,2013,Black
3293,71939,LEXUS,RX 350,2015,Black
23521,84800,FORD,Fusion,2015,Silver
7056,85419,HYUNDAI,Sonata,2011,White
21790,40598,SSANGYONG,Actyon,2016,White
7840,140000,VOLKSWAGEN,Touareg,2004,Silver
65858,7000,TOYOTA,Camry,2019,Black
13476,132967,HYUNDAI,Elantra,2010,Grey
25089,134700,TOYOTA,Camry,2013,Black
22266,48432,CHEVROLET,Orlando,2017,Black
6743,71904,LEXUS,CT 200h,2016,White
6272,156000,NISSAN,Note,2005,Green
4077,11580,FORD,Fiesta,1998,Blue
392,314373,TOYOTA,Camry,2012,Grey
5645,10000,MITSUBISHI,Pajero IO,2000,Red
7840,0,MERCEDES-BENZ,E 200,2000,Blue
1646,129834,BMW,535,2012,Blue
12544,185000,NISSAN,Elgrand,2003,Golden
15681,149000,HYUNDAI,Elantra,2014,Grey
10349,136192,HYUNDAI,Genesis,2008,Black
941,225510,TOYOTA,Camry,2013,White
549,50195,FORD,Fusion,2016,Grey
42987,13148,HYUNDAI,Sonata,2017,Black
862,53070,MERCEDES-BENZ,GLE 350,2017,Blue
10976,669145,HYUNDAI,Sonata,2015,White
5645,99000,TOYOTA,Prius C,2012,White
27093,51287,CHEVROLET,Orlando,2016,Grey
17719,268800,TOYOTA,Prius,2013,Black
19757,145000,SUBARU,Forester,2014,White
4704,319301,TOYOTA,Prius,2010,White
282,213998,MERCEDES-BENZ,ML 350,2008,Silver
23678,30000,CHEVROLET,Captiva,2015,Silver
250,33000,TOYOTA,Land Cruiser Prado,2019,White
40983,120871,HYUNDAI,Santa FE,2014,Silver
13463,187143,HYUNDAI,Genesis,2009,White
5018,63803,KIA,Sorento,2017,White
941,43128,CHEVROLET,Volt,2018,Silver
1098,254230,TOYOTA,Camry,2014,Black
13485,100300,FORD,Fiesta,2012,Black
392,78670,TOYOTA,Camry,2013,Silver
37633,79309,HYUNDAI,Santa FE,2017,Black
39615,43578,TOYOTA,Aqua,2015,Silver
5018,190549,TOYOTA,Camry,2013,Black
157,186048,FORD,Fusion,2014,Black
9252,60227,SSANGYONG,REXTON,2009,Silver
21953,78082,TOYOTA,Camry,2013,Black
132971,30573,FORD,F150,2016,White
188,209843,FORD,Escape,2008,Grey
10349,250000,BMW,525,2004,Grey
19130,142495,HYUNDAI,Elantra,2014,White
21326,14004,TOYOTA,Camry,2015,Black
40456,176480,BMW,535 Twinturbo,2012,Black
10349,134800,TOYOTA,Aqua,2014,Silver
13799,112000,HONDA,Insight,2010,Silver
50,135000,TOYOTA,Prius,2008,Beige
22894,333333,MERCEDES-BENZ,416,2000,Green
31361,54400,TOYOTA,Camry,2016,Black
7213,1958,MITSUBISHI,Pajero,1995,Blue
4547,115974,HYUNDAI,Elantra,2017,White
1882,142426,TOYOTA,Prius,2009,White
41811,33216,SSANGYONG,Actyon,2017,Blue
39201,74500,MERCEDES-BENZ,ML 350,2011,Black
37000,136027,HYUNDAI,Tucson,2016,Black
11000,0,MERCEDES-BENZ,E 320,1999,Black
10349,70066,TOYOTA,Camry,2016,White
29793,98000,BMW,328,2013,White
6586,195256,OPEL,Vectra,1998,Blue
10036,138643,TOYOTA,Avensis,2004,Silver
22894,76000,HYUNDAI,Sonata Hibrid,2014,Black
15053,108000,FORD,Fiesta,2015,Black
7056,61208,HYUNDAI,Sonata,2011,White
25889,63276,HYUNDAI,Elantra,2016,White
16621,119379,MERCEDES-BENZ,E 350,2011,Silver
20005,104997,HYUNDAI,Elantra,2012,White
22894,46800,CHEVROLET,Cruze,2017,Black
19130,65000,TOYOTA,Prius s,2013,Silver
4359,52699,CHEVROLET,Captiva,2007,Silver
14740,76800,KIA,RIO lX,2014,Black
43868,200401,SSANGYONG,Actyon,2018,Blue
47000,170000,LEXUS,RX 350,2012,Black
15994,1440000,TOYOTA,Camry,2014,Silver
3450,0,JEEP,Grand Cherokee,1997,Red
17562,54854,INFINITI,QX80,2017,Silver
784,472304,TOYOTA,Highlander,2009,White
2195,150000,TOYOTA,Will Vs,2002,Silver
7527,263459,SUBARU,Forester,2013,Blue
8781,188000,HONDA,FIT,2007,Silver
21012,108773,TOYOTA,Prius BLUG-IN,2012,Grey
22649,166320,HYUNDAI,Tucson,2010,Black
40983,95000,HYUNDAI,Santa FE,2013,Black
19416,181385,SSANGYONG,REXTON,2010,Silver
549,0,LEXUS,GX 470,2008,White
16935,183000,MERCEDES-BENZ,Sprinter,2005,White
15681,95000,HYUNDAI,Elantra,2014,Blue
9408,270000,SUBARU,Outback,2003,Black
16621,215000,TOYOTA,Camry,2007,Silver
2979,191848,HYUNDAI,Sonata,2013,Black
23207,132043,CHEVROLET,Orlando,2012,White
12858,18900,OPEL,Astra,2005,Black
17249,152480,KIA,Optima,2013,Silver
7997,453000,TOYOTA,Prius,2007,White
60,100000,TOYOTA,Vitz,2002,Silver
12541,136000,TOYOTA,Prius,2010,Silver
14113,416000,BMW,530,2004,Black
59006,14000,HYUNDAI,Tucson,2019,Grey
8467,98803,AUDI,Q7,2014,Grey
10349,0,TOYOTA,Camry,2014,Black
7527,190000,NISSAN,Presage RIDER,2003,White
20005,94479,HYUNDAI,Elantra,2011,Red
12388,121840,TOYOTA,Aqua,2013,Brown
392,168661,TOYOTA,RAV 4,2014,White
15053,52528,HYUNDAI,Sonata,2013,Blue
862,133342,BMW,X5,2012,Black
25264,191980,HYUNDAI,Tucson,2014,White
21012,20549,TOYOTA,Yaris IA,2018,Grey
14113,75000,MERCEDES-BENZ,E 300 AVANTGARDE-LTD,2007,White
4077,259934,HYUNDAI,Sonata,2012,Red
96749,9146,HYUNDAI,Santa FE,2020,White
42337,156000,BMW,528,2014,White
130,90000,BMW,X5,2006,Black
10976,114000,HONDA,FIT,2012,White
16621,158302,TOYOTA,Prius,2012,Blue
23734,115505,HYUNDAI,Santa FE,2010,White
1725,104509,HYUNDAI,Accent,2012,Blue
1019,0,LEXUS,CT 200h,2013,Red
15681,224000,BMW,X5,2004,Black
157,221312,MERCEDES-BENZ,ML 350,2012,Blue
24433,128000,HYUNDAI,H1,2014,Grey
9722,486563,HYUNDAI,Sonata,2015,Orange
3000,11111,MERCEDES-BENZ,E 200,2001,Blue
1646,205968,MERCEDES-BENZ,E 350,2010,White
627,163298,MERCEDES-BENZ,GL 450,2011,White
34419,95430,SSANGYONG,REXTON,2013,Silver
784,102885,LEXUS,GX 460,2015,Black
16935,250000,BMW,X5,2004,Blue
4704,59331,MERCEDES-BENZ,GLE 350,2017,Black
9879,273186,MERCEDES-BENZ,E 350,2011,White
29793,134400,CHEVROLET,Camaro,2013,Grey
17249,112000,MITSUBISHI,Outlander,2011,Grey
10349,73000,TOYOTA,Aqua,2014,White
23932,166762,HYUNDAI,Tucson,2013,White
1098,284880,FORD,Fusion,2014,Blue
13172,160000,HYUNDAI,Tucson,2006,Black
25089,59000,HYUNDAI,Veloster,2015,Silver
6272,1650,OPEL,Astra,1999,Red
5959,11000,MAZDA,Demio,2002,Blue
28539,31000,TOYOTA,Prius,2016,Grey
3058,140507,AUDI,A7,2014,Silver
470,220696,MERCEDES-BENZ,E 350,2013,Black
26657,271701,MERCEDES-BENZ,ML 350,2012,White
1490,11469,NISSAN,Sentra,2018,Black
9722,240000,TOYOTA,Prius,2008,Grey
18660,28647,KIA,Cerato,2016,Silver
19444,137210,CADILLAC,Escalade,2012,Black
1568,119765,TOYOTA,Camry,2012,Red
12306,199868,SSANGYONG,Actyon,2010,Silver
41281,77000,SSANGYONG,Actyon,2016,Black
28830,120950,HYUNDAI,Tucson,2012,Silver
18817,178000,TOYOTA,Prius,2011,Grey
21326,220763,BMW,328,2011,Black
62722,100070,HUMMER,H2,2004,Black
16308,135797,TOYOTA,Prius,2010,Red
49550,167000,BMW,550 GT,2009,Black
23521,214098,TOYOTA,Camry,2012,Silver
11290,173000,TOYOTA,Prius,2008,Blue
7683,19066,OPEL,Astra,1999,Blue
23834,14096,JEEP,Grand Cherokee,2019,White
3000,111000,BMW,528,1993,White
10036,362454,HYUNDAI,Sonata,2014,Silver
14426,188800,TOYOTA,Prius,2010,Silver
16308,310064,HYUNDAI,Sonata,2016,White
10976,96000,SUBARU,Impreza,2015,White
9408,192000,MERCEDES-BENZ,E 320,2000,Silver
20385,0,HONDA,Elysion,2004,Black
11290,370000,MERCEDES-BENZ,290,1999,White
28852,190000,BMW,320,2012,Sky blue
1725,89525,VOLKSWAGEN,Passat,2016,White
24932,52197,HYUNDAI,Santa FE,2014,Beige
17249,99000,NISSAN,Juke,2012,Black
627,102379,CHEVROLET,Volt,2017,Blue
51373,140552,HYUNDAI,Santa FE,2016,White
100355,0,BMW,X5,2014,Black
12544,553481,HYUNDAI,Sonata,2015,Orange
52059,229334,LEXUS,GX 460,2012,Black
7997,248000,NISSAN,Micra,2004,Blue
4547,213998,MERCEDES-BENZ,ML 350,2008,Silver
17562,130000,KIA,Optima,2013,White
15994,74121,HYUNDAI,H1,2009,Black
12720,169486,HYUNDAI,Accent,2012,Grey
8781,199000,OPEL,Vectra,2003,Grey
42692,29308,SSANGYONG,Actyon,2017,White
9252,374013,HYUNDAI,Sonata,2015,Orange
24709,133480,HYUNDAI,Elantra,2014,White
2430,228717,TOYOTA,Camry,2012,Grey
9565,285186,TOYOTA,Highlander,2012,Grey
16308,168520,MERCEDES-BENZ,ML 500,2005,Brown
45044,87810,HYUNDAI,Sonata,2017,Brown
10036,514781,HYUNDAI,Sonata,2016,Orange
32929,248000,BMW,X5 X-Drive,2007,Black
28225,126000,FORD,Fusion,2013,Grey
8467,0,HYUNDAI,Getz,2006,Silver
15850,142014,SSANGYONG,Korando,2012,Silver
4547,494317,MERCEDES-BENZ,E 350,2008,Black
5018,160000,BMW,325,2001,Silver
53540,62230,CHEVROLET,Impala,2016,Black
11917,116000,HYUNDAI,Sonata,2012,White
1176,142800,MAZDA,1000,2015,Grey
8938,109000,TOYOTA,Aqua,2013,Silver
20005,106616,HYUNDAI,Elantra,2011,Black
15681,192000,AUDI,A4,2010,Black
7840,1000,FORD,Transit,1998,White
7300,100000,HONDA,FIT,2012,White
8154,200000,TOYOTA,Prius,2008,Grey
25089,20000,FIAT,500C,2014,Black
3450,109139,MERCEDES-BENZ,E 350,2009,Black
3136,67066,MAZDA,616,2018,White
10506,142211,SUBARU,XV,2014,Black
9095,16500,OPEL,Combo,2003,Red
10976,149000,HYUNDAI,Sonata,2011,Blue
9095,150000,TOYOTA,Prius,2007,Silver
470,408997,TOYOTA,Prius,2010,White
392,29675,MERCEDES-BENZ,E 350,2014,Black
157,274981,HYUNDAI,Sonata,2014,Grey
6429,531500,HYUNDAI,Sonata,2014,Orange
28225,77300,MERCEDES-BENZ,CLS 350 AMG,2008,Black
941,177894,TOYOTA,Venza,2013,Silver
22580,47000,TOYOTA,Camry,2013,White
26657,180000,MERCEDES-BENZ,R 320,2007,White
9408,133000,DODGE,Caliber,2012,Grey
8467,111111,NISSAN,Tiida,2005,Golden
14454,149935,HYUNDAI,Elantra,2012,Black
392,171734,JEEP,Cherokee,2014,White
4077,111930,HYUNDAI,Sonata,2013,Silver
65858,110000,LAND ROVER,Land Rover Sport,2012,Black
9408,1000,MERCEDES-BENZ,CLK 320,2000,Beige
3450,9626,TOYOTA,Camry,2019,Black
15423,80861,HYUNDAI,Elantra,2010,Silver
10349,90000,DODGE,Caliber,2010,Yellow
15681,236800,HYUNDAI,Elantra,2012,Black
16308,144000,CHEVROLET,Cruze,2015,Brown
16308,357246,LEXUS,GX 470,2010,Grey
54568,255406,LEXUS,GX 460,2012,Black
27598,101000,VOLKSWAGEN,CC,2013,Grey
20814,151522,CHEVROLET,Orlando,2013,Silver
314,26802,MERCEDES-BENZ,E 300,2017,Black
15681,195432,HYUNDAI,Sonata,2016,Silver
941,294016,FORD,Fusion,2013,White
8467,135000,BMW,320,2003,Silver
9722,145785,HONDA,Cr-v,1999,Blue
706,205968,MERCEDES-BENZ,E 350,2010,White
8781,53000,NISSAN,Altima,2005,Black
5959,0,SUZUKI,XL7,2001,Silver
16308,180000,TOYOTA,Prius,2012,Grey
45436,115459,HYUNDAI,Santa FE,2015,Blue
8781,167405,NISSAN,Juke,2012,Black
15285,115363,HYUNDAI,Genesis,2010,Red
314,26802,MERCEDES-BENZ,E 300,2017,Black
9408,2222222,FORD,Transit,1998,White
26343,250000,MERCEDES-BENZ,Vito,2004,Black
37633,234000,MERCEDES-BENZ,Sprinter,2008,White
32935,117527,SSANGYONG,REXTON,2014,Silver
25763,273500,HYUNDAI,H1,2014,Black
19429,186560,HYUNDAI,Elantra,2012,Grey
9408,184000,NISSAN,X-Trail,2003,Silver
10036,347600,HYUNDAI,Sonata,2014,Silver
470,135730,HYUNDAI,Sonata,2015,Silver
7213,0,NISSAN,Juke,2013,Red
25089,281000,FORD,Edge,2011,Silver
10349,564538,HYUNDAI,Sonata,2014,White
39201,115200,TOYOTA,Highlander,2013,Black
31361,204200,FORD,Fusion,2017,White
18000,100000,HYUNDAI,Elantra,2014,Black
12074,48656,KIA,Optima,2011,White
13495,91678,HYUNDAI,Sonata,2011,Grey
18189,0,CHEVROLET,Cruze,2016,Blue
36065,38000,JEEP,Compass,2017,Sky blue
19933,145783,CHEVROLET,Malibu,2014,Black
34497,127200,HYUNDAI,Santa FE,2014,Black
8097,169617,CHEVROLET,Spark,2014,Black
18817,13120,VOLKSWAGEN,Golf,2011,Silver
160,25000,TOYOTA,RAV 4,2018,White
7997,180000,HONDA,Stream,2003,Black
10349,96000,MERCEDES-BENZ,C 200,2004,Silver
16894,211075,HYUNDAI,Sonata,2010,White
8781,2000,OPEL,Astra,2007,Black
11760,124978,ACURA,MDX,2012,Black
6743,49384,BUICK,Century,2014,Red
18189,248525,MERCEDES-BENZ,E 350,2011,Black
11917,150000,FORD,Transit,2008,White
54850,13048,HONDA,Civic,2018,Grey
20071,84000,TOYOTA,Camry,2012,Silver
6899,193243,AUDI,A4,1999,Silver
1803,229854,BMW,X5,2009,Green
6272,1000,NISSAN,Patrol,1992,Silver
67981,10120,HYUNDAI,Santa FE,2019,Grey
32929,224000,MERCEDES-BENZ,ML 350,2010,Black
9408,132085,VOLKSWAGEN,Golf,1998,Black
1000,13222,FORD,KA,1999,Sky blue
21103,101124,CHEVROLET,Malibu,2013,White
27284,144000,AUDI,A4,2013,White
110,0,LEXUS,GX 460,2017,White
3607,156518,TOYOTA,Camry,2012,White
36137,47181,HYUNDAI,Elantra,2018,Silver
862,211214,HYUNDAI,Sonata,2013,White
6900,174000,NISSAN,Note,2005,Silver
47201,104867,HONDA,Civic,2015,Black
1490,363059,TOYOTA,Highlander,2012,White
13485,270400,TOYOTA,Prius,2009,Black
2850,1000,MERCEDES-BENZ,A 160,2000,Silver
941,270410,TOYOTA,Prius,2014,White
54882,71000,LEXUS,IS 200,2015,Black
20071,72507,HYUNDAI,Elantra,2016,Black
47694,79000,HYUNDAI,H1,2016,Black
15681,118000,FORD,Fusion,2014,White
31,0,LEXUS,CT 200h,2015,Grey
22423,67646,BMW,128 M tech,2013,Black
10349,250000,TOYOTA,Ipsum,2004,White
1254,0,HYUNDAI,Elantra,2014,Grey
18240,52418,HYUNDAI,Elantra,2010,White
20542,250000,BMW,X5,2004,Silver
7840,160000,NISSAN,Tiida,2005,Silver
27284,397915,TOYOTA,Tacoma,2013,White
4391,171258,TOYOTA,Camry,2013,Silver
9095,160000,HYUNDAI,Elantra,2013,Silver
21953,123200,TOYOTA,Prius,2012,Beige
32302,122000,HYUNDAI,Grandeur,2012,White
9252,456867,HYUNDAI,Sonata,2015,Orange
80,100000,MERCEDES-BENZ,Vaneo,2003,Silver
10976,278000,HONDA,FIT,2008,Blue
5018,109139,MERCEDES-BENZ,E 350,2009,Black
28100,85000,BUICK,Encore,2015,Black
15681,27200,HYUNDAI,Sonata,2011,Black
14897,163200,TOYOTA,Prius,2010,Brown
10976,29419,HYUNDAI,Sonata,2019,Blue
10349,163000,RENAULT,Megane,2006,White
11917,201000,LEXUS,RX 300,2002,Silver
14113,31593,HYUNDAI,I30,2012,White
11000,137582,JEEP,Liberty,2001,Silver
2195,308501,HYUNDAI,Elantra,2011,Blue
1019,293029,TOYOTA,RAV 4,2012,Black
8590,122471,HONDA,FIT,2013,Blue
11917,150000,HONDA,FIT HYBRYD,2011,White
20385,182000,LEXUS,RX 400,2008,Grey
33538,49799,SSANGYONG,Actyon,2016,Blue
16292,30425,HONDA,FIT,2014,Blue
19306,82000,TOYOTA,Aqua,2014,Black
7527,123000,BMW,328,1998,Blue
19601,108295,FORD,Escape,2016,Black
21953,200000,CHEVROLET,Volt,2012,Black
12231,110531,NISSAN,Juke,2013,Red
10349,162000,TOYOTA,Ipsum,2002,Silver
10036,280000,FORD,Transit,1997,White
17249,305000,MERCEDES-BENZ,Sprinter,2002,White
13799,388986,HYUNDAI,Sonata,2017,Orange
18817,145000,TOYOTA,Prius,2014,Grey
9722,20000,MERCEDES-BENZ,C 230,2003,White
15524,149000,MERCEDES-BENZ,CL 550,2003,Silver
34406,125445,HYUNDAI,H1,2014,Silver
13768,53440,HYUNDAI,H1,2011,Silver
5018,167222,LEXUS,RX 450,2010,Black
30107,80000,SUBARU,Forester,2018,Blue
40769,91000,BMW,X3 3.5i,2012,Golden
9408,286400,JEEP,Grand Cherokee,2002,Black
549,23333,TOYOTA,Camry,2018,Silver
11604,264872,HYUNDAI,Sonata,2014,Silver
18817,123000,MERCEDES-BENZ,E 350,2007,White
14113,208800,TOYOTA,Camry,2007,Grey
8467,250000,FORD,Transit,1997,White
10976,150000,MERCEDES-BENZ,C 200,1999,Silver
10036,268046,HYUNDAI,Sonata,2014,Silver
38574,155000,MERCEDES-BENZ,E 350 AMG,2010,Black
13172,2432000,HONDA,Civic,2008,Grey
21953,480000,HYUNDAI,Sonata,2014,Grey
470,81014,MERCEDES-BENZ,C 300,2016,White
470,46053,CHEVROLET,Cruze,2017,Red
8467,200000,TOYOTA,Estima,2001,White
36065,37214,TOYOTA,CHR,2018,Grey
23521,109000,HYUNDAI,Sonata,2014,Sky blue
10976,200000,FORD,Transit,1997,White
16308,73000,TOYOTA,RAV 4,2015,Orange
18817,35058,TOYOTA,Camry,2018,White
58018,84000,MERCEDES-BENZ,GL 450,2014,White
49751,43178,HYUNDAI,Sonata,2017,White
1411,193504,SUZUKI,SX4,2013,Red
12858,120000,TOYOTA,Aqua,2012,White
44542,93876,HYUNDAI,Santa FE,2015,Blue
220,317470,LEXUS,RX 450,2010,Grey
37633,162000,MERCEDES-BENZ,R 350,2011,Black
5300,1000,MERCEDES-BENZ,C 200,1995,Sky blue
19369,153651,HYUNDAI,Genesis,2011,Red
45,164000,TOYOTA,Prius,2008,Silver
15994,39878,HYUNDAI,Sonata,2015,Black
15367,135000,HYUNDAI,Veloster,2013,Black
21357,143265,SSANGYONG,Korando,2012,Black
51523,17013,HYUNDAI,Elantra,2017,Grey
14113,100000,TOYOTA,Aqua,2013,White
15053,318677,HYUNDAI,Sonata,2015,Silver
941,268565,BMW,X5,2010,Grey
7527,69111,DAEWOO,Lacetti,2010,Black
64002,41778,HYUNDAI,Santa FE,2018,Blue
20266,88288,HYUNDAI,Elantra,2012,White
9756,300000,MERCEDES-BENZ,C 220 CDI,2002,Silver
6899,150000,AUDI,A4,2003,Black
28068,53240,HYUNDAI,Santa FE,2013,Grey
3293,103541,CHEVROLET,Malibu,2012,White
17876,53000,HYUNDAI,Elantra gt,2013,White
16465,122518,HYUNDAI,Elantra,2014,Silver
470,229904,MERCEDES-BENZ,E 350,2010,Black
220,317470,LEXUS,RX 450,2010,Grey
46414,335267,TOYOTA,RAV 4,2001,Black
9000,98000,HONDA,FIT,2012,Grey
15245,117492,HYUNDAI,Genesis,2011,Grey
392,193754,TOYOTA,RAV 4,2011,Blue
627,40157,FORD,Fusion,2017,Black
784,88203,BMW,320,2016,Black
42965,97852,TOYOTA,Avalon LIMITED,2013,Carnelian red
56513,41500,HYUNDAI,Tucson,2018,Black
7997,47221,DAEWOO,Lacetti,2010,Black
27259,201373,HYUNDAI,Santa FE,2013,Silver
392,213195,BMW,X5,2011,Brown
14113,120000,MITSUBISHI,Pajero,2003,White
23521,212421,TOYOTA,Camry,2014,White
470,229904,MERCEDES-BENZ,E 350,2010,Black
22063,110297,CHEVROLET,Orlando,2012,Grey
26657,168000,BMW,550 F10,2012,White
31082,170971,HYUNDAI,H1,2014,Grey
53314,6800,TOYOTA,Camry,2018,Black
8781,205000,NISSAN,Teana,2005,Beige
16778,41279,HYUNDAI,Elantra,2012,White
4547,193685,AUDI,A6,2011,Black
12585,126184,HYUNDAI,Elantra,2007,Silver
15681,248705,HYUNDAI,Sonata,2016,Silver
6272,115500,HONDA,FIT,2002,Blue
28482,198288,SSANGYONG,REXTON,2013,White
63,205922,MERCEDES-BENZ,E 350,2009,Black
26017,107220,HYUNDAI,Elantra,2017,White
3607,156518,TOYOTA,Camry,2012,White
17500,0,KIA,Optima,2011,Black
15053,179000,TOYOTA,Prius,2013,Silver
29711,45898,HYUNDAI,Elantra,2011,White
32035,53323,SSANGYONG,REXTON,2011,Black
36827,171755,HYUNDAI,Santa FE,2013,Silver
2430,175614,MERCEDES-BENZ,E 350,2008,Black
34102,65000,HONDA,FIT,2015,White
314,164000,FORD,Transit,2011,White
6272,0,MERCEDES-BENZ,200,1995,Blue
57372,48764,HYUNDAI,Santa FE,2015,Silver
26372,121456,JEEP,Compass,2012,Red
19130,142495,HYUNDAI,Elantra,2014,White
314,197328,HYUNDAI,Sonata,2013,Black
26657,140800,KIA,Optima,2017,Black
16894,126799,HYUNDAI,Sonata,2010,Black
1019,25635,HYUNDAI,Elantra,2017,Black
2509,315270,LEXUS,RX 450,2010,Grey
21395,144889,HYUNDAI,Elantra,2016,White
17468,216024,HYUNDAI,Tucson,2010,White
10976,167000,DODGE,Caliber,2011,Grey
13642,43000,HYUNDAI,Sonata,2015,Silver
25559,64467,MITSUBISHI,Outlander,2015,White
2587,16213,TOYOTA,CHR,2018,Grey
17405,62418,FORD,Focus ST,2014,Yellow
9252,571115,HYUNDAI,Sonata,2015,Orange
17562,120058,TOYOTA,Prius,2013,Silver
706,60269,HYUNDAI,Tucson,2016,Grey
4547,162190,CHEVROLET,Volt,2012,Blue
10036,190000,MERCEDES-BENZ,S 500,2000,Silver
30734,200179,MERCEDES-BENZ,E 350,2014,Black
3920,174002,CHEVROLET,Traverse,2014,Silver
21326,150000,MERCEDES-BENZ,E 350,2007,Black
21652,161345,HYUNDAI,Tucson,2011,Silver
13172,190000,TOYOTA,Alphard,2003,Golden
6837,649650,HYUNDAI,Sonata,2015,Orange
470,146395,MERCEDES-BENZ,E 350,2014,Grey
97401,14489,HYUNDAI,Santa FE,2019,White
17509,82105,HONDA,FIT,2014,Silver
6272,300000,BMW,520,1999,Black
22266,72000,TOYOTA,Camry sporti,2014,Black
25716,32000,VOLKSWAGEN,Jetta,2016,Black
18817,91000,KIA,RIO,2016,Silver
7683,109063,CHEVROLET,Captiva,2007,Black
4600,444800,INFINITI,G20,2000,White
9722,89000,CHEVROLET,Sonic,2014,Black
5488,109798,TOYOTA,Camry,2014,White
9900,256000,LAND ROVER,Discovery,2008,Black
220,110958,CHEVROLET,Volt,2014,Black
12544,732232,HYUNDAI,Sonata,2015,Orange
15053,210000,BMW,545,2004,Black
23521,165472,TOYOTA,Camry,2012,Grey
9408,56290,CHEVROLET,Cruze,2012,White
10349,167000,TOYOTA,Aqua,2012,Silver
314,102907,LEXUS,GX 460,2015,Black
36065,145000,BMW,550,2012,White
33550,197826,SSANGYONG,REXTON,2016,Black
18189,214000,FORD,Transit,2007,Blue
12858,320000,MERCEDES-BENZ,E 270,2000,Silver
13172,272000,MITSUBISHI,Outlander,2006,Purple
19130,140298,TOYOTA,Camry SE,2013,Black
11917,165000,MERCEDES-BENZ,CLK 320,2000,Black
1800,200000,VAZ,2121 (Niva),1984,White
21639,368064,TOYOTA,Highlander,2011,Grey
20005,75300,HYUNDAI,Elantra,2012,Black
13799,170000,TOYOTA,Aqua,2013,Silver
11917,188000,MERCEDES-BENZ,Vito,1998,Silver
784,129931,LEXUS,GX 460,2015,Black
